timestamp,learning_rate,model_type,train_or_test,epoch,loss,model_parameters,uuid
2024-02-06 07:51:18.422613,0.0003,STABLE_300-SKIP_N_20,TRAIN,1,6.032784572912666e-05,skip_20_LR_0.0003_LAYERSIZE_300,973eff15-d54e-4f0f-9191-bc5269e7b425
2024-02-06 07:52:35.252636,0.0003,STABLE_300-SKIP_N_20,TRAIN,2,6.110172447818106e-06,skip_20_LR_0.0003_LAYERSIZE_300,973eff15-d54e-4f0f-9191-bc5269e7b425
2024-02-06 07:53:51.809869,0.0003,STABLE_300-SKIP_N_20,TRAIN,3,4.223075979699283e-06,skip_20_LR_0.0003_LAYERSIZE_300,973eff15-d54e-4f0f-9191-bc5269e7b425
2024-02-06 07:55:09.091978,0.0003,STABLE_300-SKIP_N_20,TRAIN,4,3.3552913489842784e-06,skip_20_LR_0.0003_LAYERSIZE_300,973eff15-d54e-4f0f-9191-bc5269e7b425
2024-02-06 07:56:25.445845,0.0003,STABLE_300-SKIP_N_20,TRAIN,5,2.76681369862737e-06,skip_20_LR_0.0003_LAYERSIZE_300,973eff15-d54e-4f0f-9191-bc5269e7b425
2024-02-06 07:56:30.734969,0.0003,STABLE_300-SKIP_N_20,TEST,5,2.973873573335066e-06,skip_20_LR_0.0003_LAYERSIZE_300,973eff15-d54e-4f0f-9191-bc5269e7b425
2024-02-06 07:57:46.995347,0.0003,STABLE_300-SKIP_N_20,TRAIN,6,2.4072280458426737e-06,skip_20_LR_0.0003_LAYERSIZE_300,973eff15-d54e-4f0f-9191-bc5269e7b425
2024-02-06 07:59:03.415949,0.0003,STABLE_300-SKIP_N_20,TRAIN,7,2.246486867056294e-06,skip_20_LR_0.0003_LAYERSIZE_300,973eff15-d54e-4f0f-9191-bc5269e7b425
2024-02-06 08:00:19.921772,0.0003,STABLE_300-SKIP_N_20,TRAIN,8,2.162792457877937e-06,skip_20_LR_0.0003_LAYERSIZE_300,973eff15-d54e-4f0f-9191-bc5269e7b425
2024-02-06 08:01:37.003735,0.0003,STABLE_300-SKIP_N_20,TRAIN,9,2.0449236616424083e-06,skip_20_LR_0.0003_LAYERSIZE_300,973eff15-d54e-4f0f-9191-bc5269e7b425
2024-02-06 08:02:53.497105,0.0003,STABLE_300-SKIP_N_20,TRAIN,10,1.978507604468678e-06,skip_20_LR_0.0003_LAYERSIZE_300,973eff15-d54e-4f0f-9191-bc5269e7b425
2024-02-06 08:02:58.795049,0.0003,STABLE_300-SKIP_N_20,TEST,10,2.3023421411225282e-06,skip_20_LR_0.0003_LAYERSIZE_300,973eff15-d54e-4f0f-9191-bc5269e7b425
2024-02-06 08:04:15.192379,0.0003,STABLE_300-SKIP_N_20,TRAIN,11,1.9359907192551827e-06,skip_20_LR_0.0003_LAYERSIZE_300,973eff15-d54e-4f0f-9191-bc5269e7b425
2024-02-06 08:05:31.777131,0.0003,STABLE_300-SKIP_N_20,TRAIN,12,1.8959633087350173e-06,skip_20_LR_0.0003_LAYERSIZE_300,973eff15-d54e-4f0f-9191-bc5269e7b425
2024-02-06 08:06:48.136748,0.0003,STABLE_300-SKIP_N_20,TRAIN,13,1.856989237630087e-06,skip_20_LR_0.0003_LAYERSIZE_300,973eff15-d54e-4f0f-9191-bc5269e7b425
2024-02-06 08:08:05.031797,0.0003,STABLE_300-SKIP_N_20,TRAIN,14,1.834851630447669e-06,skip_20_LR_0.0003_LAYERSIZE_300,973eff15-d54e-4f0f-9191-bc5269e7b425
2024-02-06 08:09:21.985636,0.0003,STABLE_300-SKIP_N_20,TRAIN,15,1.8089877773230116e-06,skip_20_LR_0.0003_LAYERSIZE_300,973eff15-d54e-4f0f-9191-bc5269e7b425
2024-02-06 08:09:27.236296,0.0003,STABLE_300-SKIP_N_20,TEST,15,2.109077608642843e-06,skip_20_LR_0.0003_LAYERSIZE_300,973eff15-d54e-4f0f-9191-bc5269e7b425
2024-02-06 08:10:44.124340,0.0003,STABLE_300-SKIP_N_20,TRAIN,16,1.7876831915613346e-06,skip_20_LR_0.0003_LAYERSIZE_300,973eff15-d54e-4f0f-9191-bc5269e7b425
2024-02-06 08:12:00.660839,0.0003,STABLE_300-SKIP_N_20,TRAIN,17,1.7569765188718324e-06,skip_20_LR_0.0003_LAYERSIZE_300,973eff15-d54e-4f0f-9191-bc5269e7b425
2024-02-06 08:13:15.899019,0.0003,STABLE_300-SKIP_N_20,TRAIN,18,1.7411179521672224e-06,skip_20_LR_0.0003_LAYERSIZE_300,973eff15-d54e-4f0f-9191-bc5269e7b425
2024-02-06 08:14:28.975127,0.0003,STABLE_300-SKIP_N_20,TRAIN,19,1.7249099899670545e-06,skip_20_LR_0.0003_LAYERSIZE_300,973eff15-d54e-4f0f-9191-bc5269e7b425
