timestamp,learning_rate,model_type,train_or_test,epoch,loss,model_parameters,uuid
2024-02-11 04:34:08.008441,0.0003,SIMPLE_300-SKIP_N_20,TRAIN,1,5.715460383515263e-05,skip_20_LR_0.0003_LAYERSIZE_300,53231d1c-3b05-404d-910c-4a76401ae286
2024-02-11 04:35:41.919286,0.0003,SIMPLE_300-SKIP_N_20,TRAIN,2,5.685182621118048e-06,skip_20_LR_0.0003_LAYERSIZE_300,53231d1c-3b05-404d-910c-4a76401ae286
2024-02-11 04:36:38.745787,0.0003,SIMPLE_300-SKIP_N_20,TRAIN,3,3.945082750118166e-06,skip_20_LR_0.0003_LAYERSIZE_300,53231d1c-3b05-404d-910c-4a76401ae286
2024-02-11 04:37:55.222554,0.0003,SIMPLE_300-SKIP_N_20,TRAIN,4,3.12783295161142e-06,skip_20_LR_0.0003_LAYERSIZE_300,53231d1c-3b05-404d-910c-4a76401ae286
2024-02-11 04:38:32.682723,0.0003,SIMPLE_300-SKIP_N_20,TRAIN,5,2.6332787381793664e-06,skip_20_LR_0.0003_LAYERSIZE_300,53231d1c-3b05-404d-910c-4a76401ae286
2024-02-11 04:39:10.519733,0.0003,SIMPLE_300-SKIP_N_20,TRAIN,6,2.3573073341854252e-06,skip_20_LR_0.0003_LAYERSIZE_300,53231d1c-3b05-404d-910c-4a76401ae286
2024-02-11 04:39:48.164749,0.0003,SIMPLE_300-SKIP_N_20,TRAIN,7,2.200825665726476e-06,skip_20_LR_0.0003_LAYERSIZE_300,53231d1c-3b05-404d-910c-4a76401ae286
2024-02-11 04:40:25.983240,0.0003,SIMPLE_300-SKIP_N_20,TRAIN,8,2.1005510832937133e-06,skip_20_LR_0.0003_LAYERSIZE_300,53231d1c-3b05-404d-910c-4a76401ae286
2024-02-11 04:41:03.620896,0.0003,SIMPLE_300-SKIP_N_20,TRAIN,9,2.0320826322165013e-06,skip_20_LR_0.0003_LAYERSIZE_300,53231d1c-3b05-404d-910c-4a76401ae286
2024-02-11 04:41:41.421325,0.0003,SIMPLE_300-SKIP_N_20,TRAIN,10,1.9785590374903554e-06,skip_20_LR_0.0003_LAYERSIZE_300,53231d1c-3b05-404d-910c-4a76401ae286
2024-02-11 04:41:44.081544,0.0003,SIMPLE_300-SKIP_N_20,TEST,10,2.2701059489560186e-06,skip_20_LR_0.0003_LAYERSIZE_300,53231d1c-3b05-404d-910c-4a76401ae286
2024-02-11 04:42:21.554081,0.0003,SIMPLE_300-SKIP_N_20,TRAIN,11,1.935456436237597e-06,skip_20_LR_0.0003_LAYERSIZE_300,53231d1c-3b05-404d-910c-4a76401ae286
2024-02-11 04:42:59.293428,0.0003,SIMPLE_300-SKIP_N_20,TRAIN,12,1.9001299248025016e-06,skip_20_LR_0.0003_LAYERSIZE_300,53231d1c-3b05-404d-910c-4a76401ae286
2024-02-11 04:43:37.014528,0.0003,SIMPLE_300-SKIP_N_20,TRAIN,13,1.877213228589527e-06,skip_20_LR_0.0003_LAYERSIZE_300,53231d1c-3b05-404d-910c-4a76401ae286
2024-02-11 04:44:14.742222,0.0003,SIMPLE_300-SKIP_N_20,TRAIN,14,1.8503460084492014e-06,skip_20_LR_0.0003_LAYERSIZE_300,53231d1c-3b05-404d-910c-4a76401ae286
2024-02-11 04:44:52.743890,0.0003,SIMPLE_300-SKIP_N_20,TRAIN,15,1.8267010694624095e-06,skip_20_LR_0.0003_LAYERSIZE_300,53231d1c-3b05-404d-910c-4a76401ae286
2024-02-11 04:45:53.134552,0.0003,SIMPLE_300-SKIP_N_20,TRAIN,16,1.8044063331915934e-06,skip_20_LR_0.0003_LAYERSIZE_300,53231d1c-3b05-404d-910c-4a76401ae286
2024-02-11 04:47:36.429542,0.0003,SIMPLE_300-SKIP_N_20,TRAIN,17,1.7951306932089616e-06,skip_20_LR_0.0003_LAYERSIZE_300,53231d1c-3b05-404d-910c-4a76401ae286
2024-02-11 04:48:24.947221,0.0003,SIMPLE_300-SKIP_N_20,TRAIN,18,1.7767546936880637e-06,skip_20_LR_0.0003_LAYERSIZE_300,53231d1c-3b05-404d-910c-4a76401ae286
2024-02-11 04:49:03.588193,0.0003,SIMPLE_300-SKIP_N_20,TRAIN,19,1.77030535404167e-06,skip_20_LR_0.0003_LAYERSIZE_300,53231d1c-3b05-404d-910c-4a76401ae286
2024-02-11 04:49:46.119930,0.0003,SIMPLE_300-SKIP_N_20,TRAIN,20,1.7595661783803144e-06,skip_20_LR_0.0003_LAYERSIZE_300,53231d1c-3b05-404d-910c-4a76401ae286
2024-02-11 04:49:48.870611,0.0003,SIMPLE_300-SKIP_N_20,TEST,20,2.0554098960672673e-06,skip_20_LR_0.0003_LAYERSIZE_300,53231d1c-3b05-404d-910c-4a76401ae286
2024-02-11 04:50:46.402611,0.0003,SIMPLE_300-SKIP_N_20,TRAIN,21,1.748681087304174e-06,skip_20_LR_0.0003_LAYERSIZE_300,53231d1c-3b05-404d-910c-4a76401ae286
2024-02-11 04:51:24.445438,0.0003,SIMPLE_300-SKIP_N_20,TRAIN,22,1.7370139869808095e-06,skip_20_LR_0.0003_LAYERSIZE_300,53231d1c-3b05-404d-910c-4a76401ae286
2024-02-11 04:52:02.007171,0.0003,SIMPLE_300-SKIP_N_20,TRAIN,23,1.732178537841277e-06,skip_20_LR_0.0003_LAYERSIZE_300,53231d1c-3b05-404d-910c-4a76401ae286
2024-02-11 04:52:51.494810,0.0003,SIMPLE_300-SKIP_N_20,TRAIN,24,1.7139231695520921e-06,skip_20_LR_0.0003_LAYERSIZE_300,53231d1c-3b05-404d-910c-4a76401ae286
2024-02-11 04:53:32.692607,0.0003,SIMPLE_300-SKIP_N_20,TRAIN,25,1.7075001004266457e-06,skip_20_LR_0.0003_LAYERSIZE_300,53231d1c-3b05-404d-910c-4a76401ae286
2024-02-11 04:54:10.352620,0.0003,SIMPLE_300-SKIP_N_20,TRAIN,26,1.6955697646687015e-06,skip_20_LR_0.0003_LAYERSIZE_300,53231d1c-3b05-404d-910c-4a76401ae286
2024-02-11 04:54:48.034837,0.0003,SIMPLE_300-SKIP_N_20,TRAIN,27,1.6864246068693666e-06,skip_20_LR_0.0003_LAYERSIZE_300,53231d1c-3b05-404d-910c-4a76401ae286
2024-02-11 04:55:42.204583,0.0003,SIMPLE_300-SKIP_N_20,TRAIN,28,1.6836012312484083e-06,skip_20_LR_0.0003_LAYERSIZE_300,53231d1c-3b05-404d-910c-4a76401ae286
2024-02-11 04:56:25.815441,0.0003,SIMPLE_300-SKIP_N_20,TRAIN,29,1.6713478808735767e-06,skip_20_LR_0.0003_LAYERSIZE_300,53231d1c-3b05-404d-910c-4a76401ae286
2024-02-11 04:57:03.390284,0.0003,SIMPLE_300-SKIP_N_20,TRAIN,30,1.6668554282882205e-06,skip_20_LR_0.0003_LAYERSIZE_300,53231d1c-3b05-404d-910c-4a76401ae286
2024-02-11 04:57:06.045085,0.0003,SIMPLE_300-SKIP_N_20,TEST,30,1.915171603841951e-06,skip_20_LR_0.0003_LAYERSIZE_300,53231d1c-3b05-404d-910c-4a76401ae286
2024-02-11 04:57:43.872181,0.0003,SIMPLE_300-SKIP_N_20,TRAIN,31,1.6655905731816125e-06,skip_20_LR_0.0003_LAYERSIZE_300,53231d1c-3b05-404d-910c-4a76401ae286
2024-02-11 04:58:21.746957,0.0003,SIMPLE_300-SKIP_N_20,TRAIN,32,1.6555274738042566e-06,skip_20_LR_0.0003_LAYERSIZE_300,53231d1c-3b05-404d-910c-4a76401ae286
2024-02-11 04:58:59.416460,0.0003,SIMPLE_300-SKIP_N_20,TRAIN,33,1.6474382119362138e-06,skip_20_LR_0.0003_LAYERSIZE_300,53231d1c-3b05-404d-910c-4a76401ae286
2024-02-11 04:59:37.009909,0.0003,SIMPLE_300-SKIP_N_20,TRAIN,34,1.6416449284688207e-06,skip_20_LR_0.0003_LAYERSIZE_300,53231d1c-3b05-404d-910c-4a76401ae286
2024-02-11 05:00:14.882792,0.0003,SIMPLE_300-SKIP_N_20,TRAIN,35,1.6286334469044918e-06,skip_20_LR_0.0003_LAYERSIZE_300,53231d1c-3b05-404d-910c-4a76401ae286
2024-02-11 05:00:52.224346,0.0003,SIMPLE_300-SKIP_N_20,TRAIN,36,1.6228703300943702e-06,skip_20_LR_0.0003_LAYERSIZE_300,53231d1c-3b05-404d-910c-4a76401ae286
